tooltip_id,label,object,property
"button-cmd-mm-pitch-dr.001","Rotation Pitch Disc Rate","button_light_mm_pitch_dr.001","/controls/shuttle/button_cmd_mm_pitch_dr.001-ss"
"button-cmd-mm-pitch-pulse.001","Rotation Pitch Pulse","button_light_mm_pitch_pulse.001","/controls/shuttle/button_cmd_mm_pitch_pulse.001-ss"
"button-cmd-mm-yaw-dr.001"," Rotation Yaw Disc Rate","button_light_mm_yaw_dr.001","/controls/shuttle/button_cmd_mm_yaw_dr.001-ss"
"button-cmd-mm-yaw-pulse.001"," Rotation Yaw Pulse","button_light_mm_yaw_pulse.001","/controls/shuttle/button_cmd_mm_yaw_pulse.001-ss"
"A6-light-switch","Orbit Light Power: %s","A6-light-switch","/fdm/jsbsim/systems/light/cabinlight10-mode"
"A6-light-flood-r-knob","Light Brightness: %3d%%","A6-light-flood-r-knob","/fdm/jsbsim/systems/light/cabinlight10r-intensity"
"A6-light-panel-r-knob","Panel Brightness: %3d%%","A6-light-panel-r-knob","/fdm/jsbsim/systems/light/console-eff-norm-aft-panel-center"
"A6-light-instr-r-knob","Instrument Brightness: %3d%%","A6-light-instr-r-knob","/fdm/jsbsim/systems/light/console-eff-norm-aft-instrument-center"
"A6-light-numeric-r-knob","Numeric Brightness: %3d%%","A6-light-numeric-r-knob","/fdm/jsbsim/systems/light/console-eff-aft-numeric-norm"
"master-alarm-pbs","Press to Turn off Alarm","button_master-alarm_pbs","/controls/shuttle/button_master-alarm_pbs-ss"
"rms-pwr","RMS Power: %s","rms-pwr","/fdm/jsbsim/systems/rms/rms-power-switch"
"rms-pos","RMS Position: %s","rms-pos","/fdm/jsbsim/systems/rms/mpm-deploy-switch"
"rms-res","RMS Restraint: %s","rms-res","/fdm/jsbsim/systems/rms/mpm-release-switch"
"shldr-brace-rel","Brace Release: %s","shldr-brace-rel","/fdm/jsbsim/systems/rms/shoulder-brace-release-switch"
"param-sel-mode","Parameter Selection Mode: %s","param-sel-mode","/fdm/jsbsim/systems/rms/parameter-selection-mode"
"joint-sel-mode","Joint Selection Mode: %s","joint-sel-mode","/fdm/jsbsim/systems/rms/joint-sel-mode"
"direct-drive","Direct Drive: %s","direct-drive","/fdm/jsbsim/systems/rms/direct-drive-switch"
"drive-sel","Drive Selection: %s","drive-sel","/fdm/jsbsim/systems/rms/drive-selection-switch"
"drive-sel-exe","Drive Select Execute","drive-sel-exe-label","/fdm/jsbsim/systems/rms/drive-sel-exe"
"auto-seq","Auto Seq: %s","auto-seq","/fdm/jsbsim/systems/rms/auto-switch"
"rms-brakes","Brakes: %s","rms-brakes","/fdm/jsbsim/systems/rms/rms-brake-switch"
"rms-safing","Safing: %s","rms-safing","/fdm/jsbsim/systems/rms/rms-save-switch"
"rms-heater-a","RMS Heater A: %s","rms-heater-a","/fdm/jsbsim/systems/rms/thermal/port-heater-A-switch"
"rms-heater-b","RMS Heater B: %s","rms-heater-b","/fdm/jsbsim/systems/rms/thermal/port-heater-B-switch"
"guard-rms-pwr","RMS Power Cover: %s","guard-rms-pwr","/sim/model/panel/cover/guard-rms-pwr"
"guard-rms-pos","RMS Position Cover: %s","guard-rms-pos","/sim/model/panel/cover/guard-rms-pos"
"guard-rms-heater-a","RMS Heater Switch A Cover: %s","guard-rms-heater-a","/sim/model/panel/cover/guard-rms-heater-a"
"guard-rms-heater-b","RMS Heater Switch B Cover: %s","guard-rms-heater-b","/sim/model/panel/cover/guard-rms-heater-b"
"L9-light-switch","Aft Right Light Power: %s","L9-light-switch","/fdm/jsbsim/systems/light/cabinlight9-mode"
"L9-light-flood-r-knob","Light Brightness: %3d%%","L9-light-flood-r-knob","/fdm/jsbsim/systems/light/cabinlight9r-intensity"
"R10-light-switch","Aft Right Light Power: %s","R10-light-switch","/fdm/jsbsim/systems/light/cabinlight11-mode"
"R10-light-flood-r-knob","Light Brightness: %3d%%","R10-light-flood-r-knob","/fdm/jsbsim/systems/light/cabinlight11r-intensity"
"R10-light-panel-r-knob","Panel Brightness: %3d%%","R10-light-panel-r-knob","/fdm/jsbsim/systems/light/console-eff-norm-aft-panel-right"
"key_fault","FAULT","key_fault.002","/controls/shuttle/button_key_fault.002-ss"
"key_sys","SYS","key_sys.002","/controls/shuttle/button_key_sys.002-ss"
"key_msg","MSG","key_msg.002","/controls/shuttle/button_key_msg.002-ss"
"key_ack","ACK","key_ack.002","/controls/shuttle/button_key_ack.002-ss"
"key_gpc","GPC","key_gpc.002","/controls/shuttle/button_key_gpc.002-ss"
"key_a","A","key_a.002","/controls/shuttle/button_key_a.002-ss"
"key_b","B","key_b.002","/controls/shuttle/button_key_b.002-ss"
"key_c","C","key_c.002","/controls/shuttle/button_key_c.002-ss"
"key_io_rst","I/O RST","key_io_rst.002","/controls/shuttle/button_key_io_rst.002-ss"
"key_d","D","key_d.002","/controls/shuttle/button_key_d.002-ss"
"key_e","E","key_e.002","/controls/shuttle/button_key_e.002-ss"
"key_f","F","key_f.002","/controls/shuttle/button_key_f.002-ss"
