Mach,Alpha_deg,CL,CD,CDo,CDi,L_D,E,CMy,Re_1e6
0.3,0.0,-0.005843421369,0.020093480035,0.011428753658,0.008664726377,-0.290811813531,0.000366503507,0.001135838165,10.0
0.3,4.0,0.232620374886,0.019171910905,0.007486417089,0.011685493816,12.133395363558,0.430672371356,-0.003903935788,10.0
0.3,8.0,0.47463875633,0.035244207883,0.008557408474,0.026686799408,13.46714211629,0.785106336406,-0.009575592903,10.0
0.6,0.0,-0.006713433879,0.0256442367,0.011429536049,0.014214700651,-0.261791136841,0.000294883378,0.001273834887,10.0
0.6,4.0,0.251569080336,0.02550184367,0.0075556117,0.01794623197,9.864740902419,0.327974309311,-0.004355833019,10.0
0.6,8.0,0.512529584156,0.044359925026,0.00882639457,0.035533530456,11.553887520278,0.687540201694,-0.009562053905,10.0
0.8,0.0,-0.042333592161,0.089872545332,0.011431386399,0.078441158933,-0.471040316088,0.002124833087,0.00201363841,10.0
0.8,4.0,0.246720495009,0.084122230185,0.007668546511,0.076453683674,2.932881052564,0.074047537286,-0.003590639287,10.0
0.8,8.0,0.541571902152,0.10011826698,0.009268117661,0.090850149318,5.409321580272,0.300251497355,-0.009916693679,10.0
0.95,0.0,0.017277250814,0.065173533005,0.011428995539,0.053744537466,0.265096121342,0.000516551379,0.000799186023,10.0
0.95,4.0,0.347724116808,0.069692055468,0.007896600526,0.061795454943,4.989436951911,0.181974975898,-0.006427876538,10.0
0.95,8.0,0.674273220201,0.099861767366,0.010166794519,0.089694972847,6.752065760353,0.471413807794,-0.013106743009,10.0
